Input Size,Run Time (ns)
0,2190
1,2281
2,3079
3,3549
4,4213
5,4894
6,6198
7,6960
8,7210
9,7513
10,8256
11,9916
12,9265
13,9730
14,11031
15,11869
16,15578
17,19271
18,25318
19,38376
20,48604
21,67265
22,104323
23,160417
24,246056
Input Size,Run Time (ns)
0,2607
1,2259
2,3137
3,3516
4,4184
5,5644
6,7586
7,8029
8,6761
9,7787
10,8263
11,10053
12,9651
13,10000
14,11305
15,11967
16,13842
17,18036
18,22727
19,31753
20,46484
21,71202
22,105150
23,157688
24,248479
Input Size,Run Time (ns)
0,2918
1,2559
2,3303
3,3712
4,4586
5,5523
6,7642
7,7463
8,7874
9,7795
10,9364
11,9526
12,9458
13,9379
14,10382
15,10452
16,13228
17,20757
18,30716
19,31303
20,48673
21,70076
22,105860
23,157084
24,248453
Input Size,Run Time (ns)
0,2140
1,2168
2,2926
3,3066
4,3698
5,4776
6,6947
7,7020
8,6600
9,7263
10,8313
11,9036
12,7705
13,8249
14,10123
15,11212
16,13397
17,18000
18,23146
19,28538
20,48108
21,71166
22,104985
23,159083
24,247076
Input Size,Run Time (ns)
0,2742
1,2452
2,2925
3,3381
4,4126
5,5204
6,7488
7,7324
8,7579
9,7980
10,8244
11,10811
12,10707
13,9175
14,10318
15,11035
16,13799
17,17207
18,27228
19,33746
20,48567
21,71694
22,104860
23,160161
24,248993
Input Size,Run Time (ns)
0,1929
1,2358
2,4032
3,4193
4,4585
5,5645
6,8019
7,8695
8,8102
9,8279
10,9125
11,9718
12,9115
13,10015
14,11849
15,11033
16,13743
17,24481
18,23562
19,32665
20,50304
21,69431
22,105842
23,160489
24,249073
Input Size,Run Time (ns)
0,2048
1,2086
2,3340
3,3234
4,4143
5,4681
6,7339
7,7301
8,8064
9,8017
10,8807
11,9382
12,9156
13,9208
14,9762
15,10428
16,13124
17,16423
18,25366
19,34954
20,49173
21,69619
22,105554
23,160110
24,245073
Input Size,Run Time (ns)
0,2156
1,2119
2,3246
3,3297
4,4165
5,5066
6,6117
7,6820
8,6806
9,7393
10,7068
11,8216
12,10465
13,8584
14,9714
15,11067
16,13448
17,16764
18,29710
19,35488
20,50469
21,71177
22,105380
23,159161
24,247518
Input Size,Run Time (ns)
0,2603
1,2538
2,3203
3,3459
4,4089
5,4609
6,7723
7,7584
8,6944
9,8441
10,7722
11,10005
12,9230
13,9197
14,10040
15,12233
16,14283
17,16633
18,27607
19,32356
20,48058
21,72146
22,105207
23,156788
24,248390
Input Size,Run Time (ns)
0,2355
1,2202
2,3305
3,3513
4,5753
5,6800
6,8390
7,7413
8,7372
9,8056
10,8508
11,9821
12,8673
13,9261
14,9530
15,9724
16,13345
17,15911
18,22194
19,35582
20,49111
21,70538
22,105000
23,159466
24,247961
